Underwriting YoA,Processing Month,Gross Premiums Received,Gross Paid Claims,Gross Incurred Claims
2013,201301,"322,983",0,0
2013,201302,"4,760,533","112,500","112,500"
2013,201303,"3,728,925","12,313","70,523"
2013,201304,"3,938,619","28,339","76,535"
2013,201305,"595,683","46,234","250,270"
2013,201306,"2,646,830","172,309","249,449"
2013,201307,"1,625,237","186,345","355,927"
2013,201308,"2,714,250","409,808","717,542"
2013,201309,"1,669,311","309,505","1,235,710"
2013,201310,"1,988,979","1,348,093","3,948,630"
2013,201311,"3,760,073","258,548","419,859"
2013,201312,"1,871,111","1,117,758","1,169,434"
2013,201401,"2,568,483","281,371","-1,119,265"
2013,201402,"2,219,518","918,940","1,062,447"
2013,201403,"2,150,915","635,134","794,655"
2013,201404,"2,388,162","985,051","1,540,984"
2013,201405,"1,935,053","662,491","967,956"
2013,201406,"1,358,501","969,503","613,224"
2013,201407,"2,051,590","548,845","1,094,784"
2013,201408,"937,502","636,430","1,006,305"
2013,201409,"1,166,544","1,492,293","865,277"
2013,201410,"2,170,620","1,142,158","1,269,282"
2013,201411,"763,930","310,082","-95,480"
2013,201412,"1,246,690","863,265","972,717"
2013,201501,"529,615","382,523","474,624"
2013,201502,"483,628","928,086","700,016"
2013,201503,"1,168,348","651,828","115,630"
2013,201504,"38,246","747,686","833,070"
2013,201505,"-15,686","825,981","300,767"
2013,201506,"430,671","420,035","947,060"
2013,201507,"286,580","675,408","646,635"
2013,201508,"327,344","580,417","291,206"
2013,201509,"-11,785","-130,766","-218,960"
2013,201510,"-306,507","174,727","474,712"
2013,201511,"-44,490","178,934","327,165"
2013,201512,"89,340","422,242","-4,202"
2013,201601,"12,207","177,030","68,271"
2013,201602,"15,467","148,821","-36,806"
2013,201603,"25,799","179,794","113,018"
2013,201604,"29,976","37,396","42,199"
2013,201605,"-8,465","167,754","93,225"
2013,201606,"-39,856","9,644","-85,950"
2013,201607,"3,254","330,190","13,695"
2013,201608,788,"225,843","136,740"
2013,201609,"1,055","85,545","-47,034"
2013,201610,"89,889","64,948","-155,584"
2013,201611,"-80,478","92,437","-46,460"
2013,201612,"12,115","91,181","24,577"
2013,201701,"-33,060","7,750","-243,594"
2013,201702,"7,908","183,092","-20,783"
2013,201703,"4,982","16,590","7,680"
2013,201704,"-211,271","18,300","130,526"
2013,201705,"129,526","148,265","101,821"
2013,201706,"-5,154","5,946","-13,648"
2013,201707,"10,372","211,101","116,469"
2013,201708,"-80,332","26,349","22,874"
2013,201709,-429,"-6,260","-7,477"
2013,201712,"-129,508","99,840","55,011"
2014,201401,"429,263",0,0
2014,201402,"3,234,831",0,433
2014,201403,"5,405,907","4,663","14,461"
2014,201404,"737,318","36,554","80,697"
2014,201405,"2,770,115","46,799","104,428"
2014,201406,"1,656,391","270,271","338,725"
2014,201407,"3,132,517","339,630","380,942"
2014,201408,"2,482,484","75,652","50,106"
2014,201409,"2,199,907","315,118","1,753,565"
2014,201410,"2,627,867","389,249","543,986"
2014,201411,"1,826,786","121,895","140,601"
2014,201412,"2,214,412","383,626","1,946,808"
2014,201501,"2,125,968","404,190","106,066"
2014,201502,"2,506,769","1,275,936","1,562,929"
2014,201503,"2,241,468","933,528","293,073"
2014,201504,"1,689,165","978,080","1,087,055"
2014,201505,"1,646,885","780,694","785,570"
2014,201506,"1,403,110","775,575","776,391"
2014,201507,"1,248,336","846,361","788,080"
2014,201508,"1,534,742","1,254,542","755,184"
2014,201509,"871,617","1,198,409","1,645,425"
2014,201510,"1,924,317","1,617,135","1,871,205"
2014,201511,"742,895","1,712,998","1,087,236"
2014,201512,"439,486","342,093","643,292"
2014,201601,"124,730","568,681","1,285,749"
2014,201602,"216,981","448,081","802,061"
2014,201603,"225,029","408,851","240,269"
2014,201604,"194,439","328,392","309,341"
2014,201605,"439,581","738,222","578,549"
2014,201606,"262,020","373,988","529,756"
2014,201607,"122,610","169,975","-235,763"
2014,201608,"71,662","437,633","4,810,230"
2014,201609,"128,269","552,483","-4,292,998"
2014,201610,"208,108","388,414","66,691"
2014,201611,"111,805","625,264","464,783"
2014,201612,"39,752","96,515","31,794"
2014,201701,"-3,243","111,083","3,614"
2014,201702,"83,543","70,092","-18,700"
2014,201703,"8,001","185,426","96,475"
2014,201704,"-17,019","76,421","39,641"
2014,201705,"30,376","21,487","-84,848"
2014,201706,"24,921","89,313","151,381"
2014,201707,"3,161","266,962","47,206"
2014,201708,"93,502","108,427","-3,175"
2014,201709,"6,327","32,066","28,762"
2014,201712,"199,691","279,984","207,839"
2015,201501,"273,587","1,960","1,960"
2015,201502,"6,076,919","14,248","14,248"
2015,201503,"1,639,849","7,320","7,320"
2015,201504,"1,704,656","33,348","374,060"
2015,201505,"2,321,318","256,332","19,719"
2015,201506,"1,429,227","93,890","453,451"
2015,201507,"2,436,831","218,657","625,578"
2015,201508,"3,013,728","135,013","403,508"
2015,201509,"2,055,661","637,633","1,958,653"
2015,201510,"2,516,584","925,952","893,314"
2015,201511,"2,514,983","446,233","585,012"
2015,201512,"2,175,660","883,733","1,430,334"
2015,201601,"1,806,223","541,446","403,530"
2015,201602,"1,601,569","622,520","616,331"
2015,201603,"3,520,863","1,907,430","1,510,125"
2015,201604,"1,563,285","365,808","377,799"
2015,201605,"676,462","576,142","509,377"
2015,201606,"1,260,274","256,792","156,131"
2015,201607,"940,343","670,334","415,709"
2015,201608,"1,152,202","356,381","568,088"
2015,201609,"889,527","259,025","262,427"
2015,201610,"1,205,404","462,120","381,719"
2015,201611,"389,832","641,821","814,606"
2015,201612,"769,908","328,060","182,061"
2015,201701,"411,854","464,839","520,453"
2015,201702,"390,302","328,966","361,717"
2015,201703,"330,249","252,375","1,428,270"
2015,201704,"108,191","225,097","128,939"
2015,201705,"141,694","499,948","497,810"
2015,201706,"-120,387","213,689","250,229"
2015,201707,"259,747","569,043","569,682"
2015,201708,"102,497","362,572","339,056"
2015,201709,"55,260","585,826","573,729"
2015,201712,"1,280,749","1,127,651","655,021"
2016,201601,"188,806","21,443","21,443"
2016,201602,"4,804,088","7,631","38,687"
2016,201603,"1,585,825","35,672","54,873"
2016,201604,"2,224,034","30,846","65,218"
2016,201605,"1,883,184","107,161","131,094"
2016,201606,"1,616,185","91,165","90,953"
2016,201607,"4,225,492","140,741","286,295"
2016,201608,"2,063,306","497,803","683,518"
2016,201609,"6,888,827","553,897","1,073,307"
2016,201610,"-3,026,759","128,887","199,090"
2016,201611,"2,367,862","344,366","3,058,750"
2016,201612,"2,457,603","674,138","782,483"
2016,201701,"2,285,228","168,358","775,304"
2016,201702,"1,762,951","756,861","1,192,840"
2016,201703,"2,246,381","1,127,194","1,065,421"
2016,201704,"1,355,110","562,521","2,186,852"
2016,201705,"1,917,223","871,002","247,405"
2016,201706,"1,014,196","450,074","470,142"
2016,201707,"832,120","1,370,195","971,055"
2016,201708,"1,322,233","620,116","516,691"
2016,201709,"892,965","1,395,827","38,336"
2016,201712,"3,280,130","1,843,788","3,938,721"
2017,201701,"323,277","11,655","20,425"
2017,201702,"4,422,586","16,370","27,162"
2017,201703,"1,721,757","73,160","125,552"
2017,201704,"781,422","34,956","89,091"
2017,201705,"2,450,394","11,252","72,076"
2017,201706,"2,351,357","237,414","353,443"
2017,201707,"2,195,544","218,990","323,499"
2017,201708,"3,872,123","252,115","385,903"
2017,201709,"1,769,535","413,484","375,381"
2017,201712,"6,843,640","1,372,742","2,158,094"
